dbn,num_of_sat_test_takers,sat_critical_reading_avg_score,sat_math_avg_score,sat_writing_avg_score,pct_students_tested
01M292,29.0,355.0,404.0,363.0,0.78
01M448,91.0,383.0,423.0,366.0,
01M450,70.0,377.0,402.0,370.0,
01M458,7.0,414.0,401.0,359.0,0.92
01M509,44.0,390.0,433.0,384.0,0.92
01M515,112.0,332.0,557.0,316.0,
01M539,159.0,522.0,574.0,525.0,0.78
01M650,18.0,417.0,418.0,411.0,0.92
01M696,130.0,624.0,604.0,628.0,
02M047,16.0,395.0,400.0,387.0,0.78
02M288,62.0,409.0,393.0,392.0,0.92
02M294,53.0,394.0,384.0,378.0,0.78
02M296,58.0,374.0,375.0,362.0,0.92
02M298,85.0,423.0,438.0,432.0,0.78
02M300,48.0,404.0,449.0,416.0,0.92
02M303,76.0,353.0,358.0,340.0,
02M305,50.0,375.0,388.0,385.0,0.85
02M308,40.0,403.0,392.0,405.0,
02M313,69.0,408.0,390.0,390.0,
02M316,42.0,373.0,370.0,384.0,0.92
02M374,60.0,391.0,391.0,394.0,0.85
02M376,92.0,473.0,483.0,479.0,0.78
02M392,,,,,0.85
02M393,,,,,
02M394,79.0,319.0,512.0,357.0,0.78
02M399,,,,,0.85
02M400,263.0,465.0,493.0,461.0,
02M407,54.0,492.0,465.0,467.0,0.85
02M408,94.0,509.0,490.0,523.0,0.92
02M411,104.0,496.0,563.0,518.0,
02M412,114.0,537.0,590.0,550.0,0.92
02M413,66.0,517.0,533.0,515.0,0.85
02M414,103.0,468.0,492.0,459.0,0.92
02M416,127.0,572.0,594.0,592.0,0.92
02M418,144.0,528.0,553.0,533.0,0.85
02M419,62.0,390.0,399.0,381.0,0.78
02M420,336.0,429.0,449.0,428.0,0.92
02M425,84.0,416.0,426.0,391.0,0.92
02M427,,,,,
02M429,29.0,356.0,357.0,349.0,0.92
02M437,,,,,
02M438,,,,,0.78
02M439,95.0,441.0,473.0,458.0,0.85
02M440,59.0,378.0,365.0,368.0,0.92
02M449,72.0,395.0,416.0,388.0,0.85
02M459,49.0,376.0,460.0,391.0,0.85
02M460,151.0,373.0,387.0,360.0,0.78
02M473,,,,,0.92
02M475,832.0,679.0,735.0,682.0,
02M489,167.0,443.0,489.0,442.0,0.92
02M500,25.0,370.0,349.0,351.0,
02M519,81.0,469.0,472.0,475.0,
02M520,264.0,407.0,440.0,393.0,0.92
02M529,131.0,414.0,425.0,400.0,0.85
02M531,42.0,429.0,404.0,420.0,
02M542,66.0,336.0,378.0,344.0,0.85
02M543,73.0,391.0,395.0,382.0,0.78
02M544,14.0,389.0,371.0,335.0,0.85
02M545,78.0,412.0,581.0,431.0,0.78
02M550,26.0,368.0,436.0,352.0,0.78
02M551,77.0,405.0,423.0,384.0,0.92
02M560,56.0,498.0,440.0,477.0,0.85
02M565,30.0,527.0,508.0,512.0,0.85
02M570,33.0,350.0,337.0,345.0,0.85
02M575,121.0,345.0,517.0,343.0,0.78
02M580,84.0,408.0,384.0,403.0,
02M586,9.0,458.0,416.0,429.0,0.85
02M600,335.0,423.0,423.0,411.0,0.78
02M605,36.0,426.0,403.0,426.0,
02M615,83.0,399.0,418.0,390.0,0.92
02M620,154.0,370.0,379.0,359.0,
